Date, CO2 ppm
2008-01-05, 384.36
2008-01-12, 384.41
2008-01-19, 385.47
2008-01-26, 386.06
2008-02-02, 386.19
2008-02-09, 385.72
2008-02-16, 385.58
2008-02-23, 385.24
2008-03-01, 384.88
2008-03-08, 385.88
2008-03-15, 385.64
2008-03-22, 386.17
2008-03-29, 386.70
2008-04-05, 388.00
2008-04-12, 385.90
2008-04-19, 386.38
2008-04-26, 387.19
2008-05-03, 386.94
2008-05-10, 388.90
2008-05-17, 388.84
2008-05-24, 388.53
2008-05-31, 388.48
2008-06-07, 388.16
2008-06-14, 387.79
2008-06-21, 387.54
2008-06-28, 388.11
2008-07-05, 387.08
2008-07-12, 386.11
2008-07-19, 385.73
2008-07-26, 385.96
2008-08-02, 384.91
2008-08-09, 384.68
2008-08-16, 383.89
2008-08-23, 383.55
2008-08-30, 383.16
2008-09-06, 383.18
2008-09-13, 383.37
2008-09-20, 382.98
2008-09-27, 382.92
2008-10-04, 382.66
2008-10-11, 382.72
2008-10-18, 382.96
2008-10-25, 382.94
2008-11-01, 383.61
2008-11-08, 383.60
2008-11-15, 384.03
2008-11-22, 384.32
2008-11-29, 384.46
2008-12-06, 384.77
2008-12-13, 384.89
2008-12-20, 385.15
2008-12-27, 385.80
2009-01-03, 386.01
2009-01-10, 386.53
2009-01-17, 386.64
2009-01-24, 387.05
2009-01-31, 387.26
2009-02-07, 386.51
2009-02-14, 387.44
2009-02-21, 387.40
2009-02-28, 387.48
2009-03-07, 388.54
2009-03-14, 388.64
2009-03-21, 388.44
2009-03-28, 389.17
2009-04-04, 389.39
2009-04-11, 389.74
2009-04-18, 388.67
2009-04-25, 390.37
2009-05-02, 390.16
2009-05-09, 389.87
2009-05-16, 390.30
2009-05-23, 390.76
2009-05-30, 389.35
2009-06-06, 390.46
2009-06-13, 390.01
2009-06-20, 388.88
2009-06-27, 388.72
2009-07-04, 388.30
2009-07-11, 388.68
2009-07-18, 388.03
2009-07-25, 387.48
2009-08-01, 387.16
2009-08-08, 386.67
2009-08-15, 385.27
2009-08-22, 386.05
2009-08-29, 385.65
2009-09-05, 385.30
2009-09-12, 384.48
2009-09-19, 384.61
2009-09-26, 384.51
2009-10-03, 383.43
2009-10-10, 384.28
2009-10-17, 384.55
2009-10-24, 384.79
2009-10-31, 385.18
2009-11-07, 385.60
2009-11-14, 386.09
2009-11-21, 386.31
2009-11-28, 386.73
2009-12-05, 386.91
2009-12-12, 386.81
2009-12-19, 388.04
2009-12-26, 388.19
2010-01-02, 388.41
2010-01-09, 388.17
2010-01-16, 388.69
2010-01-23, 388.59
2010-01-30, 389.04
2010-02-06, 390.91
2010-02-13, 389.78
2010-02-20, 390.84
2010-02-27, 389.38
2010-03-06, 391.07
2010-03-13, 391.37
2010-03-20, 391.55
2010-03-27, 390.08
2010-04-03, 391.15
2010-04-10, 391.60
2010-04-17, 393.27
2010-04-24, 393.27
2010-05-01, 392.99
2010-05-08, 392.97
2010-05-15, 393.13
2010-05-22, 393.55
2010-05-29, 393.02
2010-06-05, 393.08
2010-06-12, 392.35
2010-06-19, 391.73
2010-06-26, 391.46
2010-07-03, 391.01
2010-07-10, 390.20
2010-07-17, 389.91
2010-07-24, 390.12
2010-07-31, 389.49
2010-08-07, 389.06
2010-08-14, 388.76
2010-08-21, 388.12
2010-08-28, 387.42
2010-09-04, 386.91
2010-09-11, 386.85
2010-09-18, 386.97
2010-09-25, 386.87
2010-10-02, 386.75
2010-10-09, 386.98
2010-10-16, 387.03
2010-10-23, 387.80
2010-10-30, 387.78
2010-11-06, 387.95
2010-11-13, 388.27
2010-11-20, 389.11
2010-11-27, 389.59
2010-12-04, 389.88
2010-12-11, 389.75
2010-12-18, 389.58
2010-12-25, 389.96
2011-01-01, 390.50
2011-01-08, 391.61
2011-01-15, 391.06
2011-01-22, 391.25
2011-01-29, 392.00
2011-02-05, 391.89
2011-02-12, 391.52
2011-02-19, 391.82
2011-02-26, 392.50
2011-03-05, 391.59
2011-03-12, 391.94
2011-03-19, 392.43
2011-03-26, 394.11
2011-04-02, 393.40
2011-04-09, 392.71
2011-04-16, 393.73
2011-04-23, 393.22
2011-04-30, 393.59
2011-05-07, 393.36
2011-05-14, 393.84
2011-05-21, 395.12
2011-05-28, 394.49
2011-06-04, 394.08
2011-06-11, 393.42
2011-06-18, 393.92
2011-06-25, 393.37
2011-07-02, 393.31
2011-07-09, 393.61
2011-07-16, 392.64
2011-07-23, 391.13
2011-07-30, 391.77
2011-08-06, 390.76
2011-08-13, 390.53
2011-08-20, 389.82
2011-08-27, 389.41
2011-09-03, 389.23
2011-09-10, 389.17
2011-09-17, 389.15
2011-09-24, 388.86
2011-10-01, 388.91
2011-10-08, 388.74
2011-10-15, 388.91
2011-10-22, 389.09
2011-10-29, 389.45
2011-11-05, 389.64
2011-11-12, 390.24
2011-11-19, 390.44
2011-11-26, 390.77
2011-12-03, 391.08
2011-12-10, 391.70
2011-12-17, 392.24
2011-12-24, 392.09
2011-12-31, 392.26
2012-01-07, 392.92
2012-01-14, 393.61
2012-01-21, 393.04
2012-01-28, 393.03
2012-02-04, 392.43
2012-02-11, 393.45
2012-02-18, 393.97
2012-02-25, 393.62
2012-03-03, 394.17
2012-03-10, 393.38
2012-03-17, 394.79
2012-03-24, 395.15
2012-03-31, 394.91
2012-04-07, 396.45
2012-04-14, 396.38
2012-04-21, 396.56
2012-04-28, 396.70
2012-05-05, 397.08
2012-05-12, 397.28
2012-05-19, 396.56
2012-05-26, 396.28
2012-06-02, 396.03
2012-06-09, 396.02
2012-06-16, 395.86
2012-06-23, 395.73
2012-06-30, 395.41
2012-07-07, 394.86
2012-07-14, 394.59
2012-07-21, 394.35
2012-07-28, 393.60
2012-08-04, 393.39
2012-08-11, 392.93
2012-08-18, 392.31
2012-08-25, 391.70
2012-09-01, 391.98
2012-09-08, 391.00
2012-09-15, 391.03
2012-09-22, 391.02
2012-09-29, 390.99
2012-10-20, 391.29
2012-10-27, 391.46
2012-11-03, 391.76
2012-11-10, 392.77
2012-11-17, 393.42
2012-11-24, 393.36
2012-12-01, 393.61
2012-12-08, 394.05
2012-12-15, 394.46
2012-12-22, 394.83
2012-12-29, 394.62
2013-01-05, 394.99
2013-01-12, 395.57
2013-01-19, 396.21
2013-01-26, 395.64
2013-02-02, 396.39
2013-02-09, 396.46
2013-02-16, 397.31
2013-02-23, 396.88
2013-03-02, 397.13
2013-03-09, 396.64
2013-03-16, 397.25
2013-03-23, 397.21
2013-03-30, 398.39
2013-04-06, 398.05
2013-04-13, 397.43
2013-04-20, 398.76
2013-04-27, 399.33
2013-05-04, 399.64
2013-05-11, 399.78
2013-05-18, 400.04
2013-05-25, 400.22
2013-06-01, 399.43
2013-06-08, 398.91
2013-06-15, 398.58
2013-06-22, 398.50
2013-06-29, 398.65
2013-07-06, 397.56
2013-07-13, 397.48
2013-07-20, 396.83
2013-07-27, 396.98
2013-08-03, 396.61
2013-08-10, 395.55
2013-08-17, 395.24
2013-08-24, 394.73
2013-08-31, 394.33
2013-09-07, 393.52
2013-09-14, 393.25
2013-09-21, 393.53
2013-09-28, 393.22
2013-10-05, 393.47
2013-10-12, 393.52
2013-10-19, 393.93
2013-10-26, 394.13
2013-11-02, 394.39
2013-11-09, 395.25
2013-11-16, 394.85
2013-11-23, 395.66
2013-11-30, 396.06
2013-12-07, 396.27
2013-12-14, 396.52
2013-12-21, 397.30
2013-12-28, 397.59
2014-01-04, 397.90
2014-01-11, 397.82
2014-01-18, 398.13
2014-01-25, 397.75
2014-02-01, 398.02
2014-02-08, 397.98
2014-02-15, 397.79
2014-02-22, 398.24
2014-03-01, 397.92
2014-03-08, 398.88
2014-03-15, 400.68
2014-03-22, 399.62
2014-03-29, 400.34
2014-04-05, 401.32
2014-04-12, 401.22
2014-04-19, 401.29
2014-04-26, 401.42
2014-05-03, 401.74
2014-05-10, 401.51
2014-05-17, 402.18
2014-05-24, 401.44
2014-05-31, 402.12
2014-06-07, 401.55
2014-06-14, 401.31
2014-06-21, 401.21
2014-06-28, 400.57
2014-07-05, 400.06
2014-07-12, 399.58
2014-07-19, 398.54
2014-07-26, 397.86
2014-08-02, 397.86
2014-08-09, 397.45
2014-08-16, 397.23
2014-08-23, 396.75
2014-08-30, 396.37
2014-09-06, 396.35
2014-09-13, 394.80
2014-09-20, 395.32
2014-09-27, 395.55
2014-10-04, 395.57
2014-10-11, 395.49
2014-10-18, 395.72
2014-10-25, 395.91
2014-11-01, 396.52
2014-11-08, 396.90
2014-11-15, 397.34
2014-11-22, 397.24
2014-11-29, 398.10
2014-12-06, 398.26
2014-12-13, 398.92
2014-12-20, 399.09
2014-12-27, 399.01
2015-01-03, 399.92
2015-01-10, 399.86
2015-01-17, 399.72
2015-01-24, 399.98
2015-01-31, 400.20
2015-02-07, 400.02
2015-02-14, 400.15
2015-02-21, 400.36
2015-02-28, 401.03
2015-03-07, 401.63
2015-03-14, 401.80
2015-03-21, 400.79
2015-03-28, 402.50
2015-04-04, 402.74
2015-04-11, 403.88
2015-04-18, 403.80
2015-04-25, 403.22
2015-05-02, 404.07
2015-05-09, 404.09
2015-05-16, 404.31
2015-05-23, 403.85
2015-05-30, 403.81
2015-06-06, 403.45
2015-06-13, 402.72
2015-06-20, 402.63
2015-06-27, 402.36
2015-07-04, 402.25
2015-07-11, 401.71
2015-07-18, 401.02
2015-07-25, 401.30
2015-08-01, 398.74
2015-08-08, 399.21
2015-08-15, 399.12
2015-08-22, 399.03
2015-08-29, 398.80
2015-09-05, 398.16
2015-09-12, 397.10
2015-09-19, 397.57
2015-09-26, 397.42
2015-10-03, 397.74
2015-10-10, 398.51
2015-10-17, 398.61
2015-10-24, 398.43
2015-10-31, 398.87
2015-11-07, 399.53
2015-11-14, 400.75
2015-11-21, 400.42
2015-11-28, 400.83
2015-12-05, 400.91
2015-12-12, 402.40
2015-12-19, 402.32
2015-12-26, 402.01
2016-01-02, 402.25
2016-01-09, 402.23
2016-01-16, 402.68
2016-01-23, 403.26
2016-01-30, 402.79
2016-02-06, 404.98
2016-02-13, 403.22
2016-02-20, 404.59
2016-02-27, 403.98
2016-03-05, 403.99
2016-03-12, 404.51
2016-03-19, 405.01
2016-03-26, 406.16
2016-04-02, 405.70
2016-04-09, 408.56
2016-04-16, 408.16
2016-04-23, 407.70
2016-04-30, 407.84
2016-05-07, 407.51
2016-05-14, 407.54
2016-05-21, 407.41
2016-05-28, 407.92
2016-06-04, 407.52
2016-06-11, 406.99
2016-06-18, 407.02
2016-06-25, 406.40
2016-07-02, 405.96
2016-07-09, 404.93
2016-07-16, 403.64
2016-07-23, 403.71
2016-07-30, 403.76
2016-08-06, 403.22
2016-08-13, 402.11
2016-08-20, 401.78
2016-08-27, 401.43
2016-09-03, 401.27
2016-09-10, 401.13
2016-09-17, 401.25
2016-09-24, 400.85
2016-10-01, 400.82
2016-10-08, 401.20
2016-10-15, 401.70
2016-10-22, 401.82
2016-10-29, 402.38
2016-11-05, 403.15
2016-11-12, 403.12
2016-11-19, 403.95
2016-11-26, 404.44
2016-12-03, 404.16
2016-12-10, 404.28
2016-12-17, 404.63
2016-12-24, 404.66
2016-12-31, 405.38
2017-01-07, 405.94
2017-01-14, 405.91
2017-01-21, 406.37
2017-01-28, 406.35
2017-02-04, 406.20
2017-02-11, 406.02
2017-02-18, 406.17
2017-02-25, 408.07
2017-03-04, 407.06
2017-03-11, 406.53
2017-03-18, 406.73
2017-03-25, 407.89
2017-04-01, 408.66
2017-04-08, 407.19
2017-04-15, 409.12
2017-04-22, 409.89
2017-04-29, 409.04
2017-05-06, 409.54
2017-05-13, 409.83
2017-05-20, 410.18
2017-05-27, 409.88
2017-06-03, 409.67
2017-06-10, 409.62
2017-06-17, 408.82
2017-06-24, 408.43
2017-07-01, 407.77
2017-07-08, 407.68
2017-07-15, 407.11
2017-07-22, 406.76
2017-07-29, 406.50
2017-08-05, 405.93
2017-08-12, 405.55
2017-08-19, 404.81
2017-08-26, 404.54
2017-09-02, 404.10
2017-09-09, 403.39
2017-09-16, 403.44
2017-09-23, 402.95
2017-09-30, 402.73
2017-10-07, 403.19
2017-10-14, 403.60
2017-10-21, 404.05
2017-10-28, 404.25
2017-11-04, 404.28
2017-11-11, 404.51
2017-11-18, 405.53
2017-11-25, 406.36
2017-12-02, 406.85
2017-12-09, 406.16
2017-12-16, 406.50
2017-12-23, 407.07
2017-12-30, 407.24
2018-01-06, 407.96
2018-01-13, 408.08
2018-01-20, 408.26
2018-01-27, 408.05
2018-02-03, 407.63
2018-02-10, 408.41
2018-02-17, 408.46
2018-02-24, 408.69
2018-03-03, 408.77
2018-03-10, 409.64
2018-03-17, 408.69
2018-03-24, 409.77
2018-03-31, 409.63
2018-04-07, 409.41
2018-04-14, 410.10
2018-04-21, 411.36
2018-04-28, 410.58
2018-05-05, 409.75
2018-05-12, 411.62
2018-05-19, 411.43
2018-05-26, 411.81
